hyhg,course_code,course_title,credit,instructor,time,room,quota,participants,major_quota,second_major,grande_1,grade_2,grade_3,grade_4,exchange_student,max_mileage,min_result,max_result,average
20161,ECO2101-02-00,거시경제학,3,이경우,"월5,6,수6",상본B120,100,35,50,Y,0,60,25,15,O,18,1,18,9.97
20161,ECO2101-04-00,거시경제학,3,조성훈,"화4,목5,6",상본B112,66,104,33,N,0,39,17,10,O,18,1,18,16.34
20161,ECO2101-05-00,거시경제학,3,조하현,"수5,금5,6",상본101,100,87,50,N,0,60,25,15,O,18,1,18,11.66
20161,ECO2101-06-00,거시경제학,3,정진호,"화1,목2,3",상본110,66,18,33,N,0,39,17,10,O,18,1,18,9.11
20161,ECO2101-07-00,거시경제학,3,김창근,"화2,3,목1",상본110,66,13,33,N,0,39,17,10,O,18,1,18,11.15
20161,ECO2102-01-00,미시경제학,3,한유진,"수3,금3,4",상본B121,100,23,50,Y,0,60,25,15,O,18,1,18,9.22
20161,ECO2102-02-00,미시경제학,3,김석호,"월5,6,수6",상본115,100,44,50,Y,0,60,25,15,O,18,1,18,8.43
20161,ECO2102-03-00,미시경제학,3,김용균,"화8,9,목7",상본101,100,14,50,Y,0,60,25,15,O,18,1,18,8.43
20161,ECO2102-04-00,미시경제학,3,서승환,"화2,3,목1",상본B120,100,119,50,N,0,60,25,15,X,18,4,18,16.53
20161,ECO2102-05-00,미시경제학,3,성백남,"화7,목8,9",상본B106,91,69,45,N,0,54,23,14,O,18,1,18,13.57
20161,ECO2102-06-00,미시경제학,3,신동천,"월7,8,수8",상본B121,100,132,50,N,0,60,25,15,X,18,10,18,17.25
20161,ECO2102-07-00,미시경제학,3,최강식,"화1,목2,3",상본B121,100,28,50,N,0,60,25,15,O,18,1,18,9.86
20161,ECO2001-01-00,주니어세미나(이코노믹스와이코노미스트),1,김영세,수11,상본113,15,3,0,N,0,0,0,0,X,18,1,7,3
20161,ECO2001-02-00,주니어세미나(경제와친해지기),1,조하현,목7,상본535,15,25,0,N,0,5,5,5,O,18,1,18,8.76
20161,ECO2103-01-00,경제사개설,3,홍성찬,"수3,금3,4",상본101,100,42,50,N,0,60,25,15,O,18,1,18,11.98
