course_code,course_title
ENG3011,기술창조와특허
MAT2011,선형대수와그응용
MAT2013,확률통계
ENG3012,창업103:21C기술경영
ENG3405,지역사회를위한창의적문제해결
ENG3404,창업304:x-design(캡스톤디자인)
MEU2300,창의설계프로젝트(1)
MEU2101,기계공학수학(1)
MEU2001,주니어세미나(알려지지않은컴퓨터의진화과정뒷이야기)
MEU2001,주니어세미나(기계공학과생체공학의만남)
MEU2001,주니어세미나(알기쉬운반도체이야기)
MEU2001,주니어세미나(ADVANCED TECHNOLOGY & DESIGN)
MEU2001,주니어세미나(제트엔진설계)
MEU2600,고체역학및실험(1)
MEU2610,열역학
MEU2620,설계및생산공학(1)
MEU2103,공학수치해석
MEU2640,유체역학및실험
MEU2650,동역학및응용
MEU2660,회로와전자기응용
MEU2670,바이오테크놀로지개론
MEU3620,설계및생산공학(2)
MEU3660,공학재료와거동학
MEU3700,생체공학
MEU4300,창의설계프로젝트(3)(종합설계)
MEU4400,연구논문
MEU3102,학부세미나(2)
MEU3680,기계시스템제어
MEU4600,에너지동력공학
MEU4610,공기조화및환경
ENG1107,공학기초설계
EEE2020,데이터구조
EEE2112,기초현대물리학
MAT2016,공학수학(3)
EEE2010,기초회로이론
EEE2030,전자기학(1)
EEE2040,디지털논리회로
EEE2050,전자회로(1)
EEE2060,신호및시스템
EEE2111,전기전자기초실험
EEE2001,주니어세미나(오류정정부호기술)
EEE2001,주니어세미나(음원제작으로배우는신호처리)
EEE2001,주니어세미나(공학인의꿈)
EEE3313,전기전자응용실험
EEE3210,물리전자
EEE3410,확률과랜덤변수
EEE3430,통신이론
EEE3510,전자회로(2)
EEE3530,컴퓨터구조
EEE3543,전자기학(2)
EEE4610,전기전자종합설계
EEE4140,안테나공학
EEE4240,시스템공학특론
EEE4320,디지털제어공학
EEE4340,전력공학
EEE4420,디지털신호처리
EEE4423,통신및신호처리실험
EEE4470,컴퓨터네트워크
EEE4473,임베디드시스템실험
EEE4621,반도체디스플레이실험
CSI2102,객체지향프로그래밍
CSI2100,컴퓨터프로그래밍
CSI2101,이산구조
CSI2103,자료구조
CSI2106,컴퓨터과학입문
CSI2107,컴퓨터시스템
CSI2109,인터넷프로그래밍
CSI3101,운영체제
CSI3102,컴퓨터아키텍쳐
CSI3109,오토메타형식언어
CSI4105,컴퓨터그래픽스
CSI4108,인공지능
CSI4130,미래컴퓨터과학전공탐색
CSI4101,소프트웨어종합설계(1)
CSI4102,소프트웨어종합설계(2)
CSI4109,정보보호
CSI4117,데이타마이닝
CSI4118,임베디드컴퓨팅
CSI3120,컴퓨터과학연구과제1
CSI3130,멘토세미나 (2)
IIE2101,산업공학개론
IIE2109,정보산업확률통계
IIE3101,OR확률모델
IIE3102,생산계획론
IIE3103,정보전략계획및설계
IIE3105,로지스틱스공학
IIE3106,실험계획법
IIE3113,기술혁신경영
IIE4101,경영과학설계
IIE4113,정보산업응용종합설계
IIE4102,고객관계경영
IIE4103,지능정보시스템개론
IIE4111,투자공학
IIE4118,제품및서비스개발론
IIE4120,창업203:기술전략
MST2110,재료수학(1)
MST2130,고체화학
MST2210,재료과학(1)
MST2230,재료열역학(1)
MST2001,주니어세미나(자아의공학적접근)
MST2310,재료공학기초실험(1)
MST3310,재료설계및평가
MST3410,재료의전자기적성질
MST3470,재료역학
MST3490,재료반응속도론
MST3510,전산재료학
MST3550,X선회절분석론
MST3580,재료분석론
MST4310,창의종합설계
MST4480,정보저장재료
MST4490,마이크로시스템공학
MST4510,나노재료
MST4530,소자재료
MST4550,전자세라믹스
